User ID,User,email,Vet ID,ชื่อ คลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,Address ID,วันที่เปิดทำการ,เวลาเปิดทำการ,เวลาปิดทำการ,ที่อยู่,เบอร์โทรคลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,เลขละติจูด-ลองติจูด,Link แชร์โลเคชั่น,Facebook Page ของคลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,Line@ คลินิก/ โรงพยาบาลสัตว์ / ร้านค้า
11,trio160102011,160102011@supertriodog.com,160102011,ทรัพย์ทวีรักษาสัตว์,ท่าหิน,อำเภอเมืองลพบุรี,ลพบุรี,160102,ทุกวัน,8:30:00 AM,7:30:00 PM,216 ถนน พระราม,0658680805,"(14.8023147, 100.6088803)",ทรัพย์ทวีรักษาสัตว์ 065 868 0805 https://maps.app.goo.gl/XvJBLGmYvmo1M5G49?g_st=ic,ทรัพย์ทวีรักษาสัตว์,@subthaweevet
12,trio240901012,240901012@supertriodog.com,240901012,บำรุงสุข รักษาสัตว์,แปลงยาว,อำเภอแปลงยาว,ฉะเชิงเทรา,240901,ทุกวัน,8:00:00 AM,8:00:00 PM,112/2 ม.5 ถนน 3121,0955947711/0863221936,"(13.6017098, 101.2465292)",บำรุงสุข รักษาสัตว์ 095 594 7711 https://maps.app.goo.gl/fnTpn8pBoy7Dcxgv9?g_st=ic,บำรุงสุข รักษาสัตว์,
13,trio420102013,420102013@supertriodog.com,420102013,คลินิกรักษาสัตว์ เว็ท ไอคอนิค,เมือง,อำเภอเมืองเลย,เลย,420102,วันจันทร์;วันอังคาร;วันพฤหัส;วันศุกร์;วันเสาร์;วันอาทิตย์,9:00:00 AM,7:00:00 PM,515 หมู่ 8,0881564298,"17.534947,101.724779",https://maps.app.goo.gl/KaCxTDxNKznZcn2F9,คลินิกรักษาสัตว์หมอไหม- หมอเชน เว็ท ไอคอนิค เมืองเลย,veticonicloei
14,trio650115014,650115014@supertriodog.com,650115014,คลินิกสัตว์เลี้ยงต้นรักษ์,พลายชุมพล,อำเภอเมืองพิษณุโลก,พิษณุโลก,650115,ทุกวัน,8:30:00 AM,8:30:00 PM,98/92 หมู่ 5,0949418884,"16.84298464298464, 100.23097328408006",https://goo.gl/maps/FCaZNtPJBy5hCkGu9,https://www.facebook.com/tonrakpetclinic,
15,trio104703015,104703015@supertriodog.com,104703015,บางนา เพ็ทเซ็นเตอร์ Bangna pet center,แขวงบางนาใต้,เขตบางนา,กรุงเทพมหานคร,104703,ทุกวัน,8:30:00 AM,7:00:00 PM,522 ถนนเทพรัตน,027444565,"13.6697793,100.6199228",บางนา เพ็ทเซ็นเตอร์ 02 744 4565 https://maps.app.goo.gl/7kdve7Ca1zH9LjUY8,Bangna Pet Center,bangnapetcenter
16,trio800118016,800118016@supertriodog.com,800118016,โรงพยาบาลสัตว์บ้านหมากะแมว นครศรีธรรมราช,โพธิ์เสด็จ,อำเภอเมืองนครศรีธรรมราช,นครศรีธรรมราช,800118,ทุกวัน,9:00:00 AM,8:00:00 PM,167/46-47 ถ.สะพานยาว,"0998249565,0902365163","8.443086715739378, 99.95066321559287",โรงพยาบาลสัตว์บ้านหมากะแมว 099 824 9565 https://maps.app.goo.gl/89krbnFRea6Tc4Yj6?g_st=ic,โรงพยาบาลสัตว์บ้านหมากะแมวนครศรีธรรมราช,@baanmhakamaeo
17,trio103201017,103201017@supertriodog.com,103201017,โรงพยาบาลสัตว์เพ็ทโตะ,แขวงประเวศ,เขตประเวศ,กรุงเทพมหานคร,103201,ทุกวัน,10:00:00 AM,9:00:00 PM,359/2-3 ถ.อ่อนนุช,"02-3211455 , 090-9890981","13.719226004457832, 100.66749103818121",Petto Animal Hospital 02 321 1455 https://maps.app.goo.gl/jykzEFgGb4CupXnp9?g_st=ic,https://www.facebook.com/Pettoanimalhospital?mibextid=LQQJ4d,@pettohospital
18,trio104503018,104503018@supertriodog.com,104503018,โรงพยาบาลสัตว์หมาแมวยิ้มแฉ่ง,แขวงคลองเจ้าคุณสิงห์,เขตวังทองหลาง,กรุงเทพมหานคร,104503,ทุกวัน,8:00:00 AM,12:00:00 AM,257/4-5 ซอยลาดพร้าว101 ถนนลาดพร้าว,02-3751837,"13.77745,100.62942",https://goo.gl/maps/Vp2n56dDcyRT8zJDA,โรงพยาบาลสัตว์หมาแมวยิ้มแฉ่งลาดพร้าว101เปิด24ชั่วโมง,@lom4149c
19,trio100502019,100502019@supertriodog.com,100502019,สถานพยาบาลสัตว์มนูญเพ็ทช็อป สาขาหลักสี่,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,100502,ทุกวัน,9:30:00 AM,8:30:00 PM,56/1-56/10 ถนนพหลโยธิน,0993235446,13.880599327087623,https://goo.gl/maps/avyhTfKATXVzNZbp8,https://www.facebook.com/manooniks,@manoon_iks
20,trio102009020,102009020@supertriodog.com,102009020,สถานพยาบาลสัตว์ มนูญเพ็ทช็อป บาย ไอเคเอส สาขาปิ่นเกล้า,แขวงอรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,102009,ทุกวัน,11:00:00 AM,9:00:00 PM,1/92 ถนนบรมราชธานี,0944922541,"13.776166744598653, 100.47913223743167",https://maps.app.goo.gl/jMZftg84xrvFyvVv5?g_st=il,https://www.facebook.com/manooniks, @manoon_iks
21,trio103403021,103403021@supertriodog.com,103403021,โรงพยาบาลสัตว์นครินทร์,แขวงพัฒนาการ,เขตสวนหลวง,กรุงเทพมหานคร,103403,ทุกวัน,9:00:00 AM,8:00:00 PM,2365 ซอย พัฒนาการ 49,0841311211,"13.7363699, 100.6396861",https://maps.app.goo.gl/sVxNu9oo5HqsC1vC8?g_st=ic,,@nakarinvet
22,trio110101022,110101022@supertriodog.com,110101022,สมุทร,ปากน้ำ,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,110101,ทุกวัน;วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์,11:00:00 AM,8:00:00 PM,37/9-10,065-514-7362,"13.6200641, 100.5908911",JHCR+29C เทศบาลนครสมุทรปราการ ตำบลปากน้ำ อำเภอเมืองสมุทรปราการ สมุทรปราการ https://goo.gl/maps/Vww7nyPRMzvniakX7,สมุทรปราการสัตวแพทย์,
23,trio102601023,102601023@supertriodog.com,102601023,โรงพยาบาลสัตว์รัชดา,แขวงดินแดง,เขตดินแดง,กรุงเทพมหานคร,102601,ทุกวัน,10:00:00 AM,9:00:00 PM,210  ซอยรัชดาภิเษก7 ถนนรัชดาภิเษก,0888856980  026920880,"(13.7742641, 100.5689755)",Ratchada Pet Hospital 02 692 0880 https://goo.gl/maps/69o5XbPoZWtV2fzp8,โรงพยาบาลสัตว์รัชดา,
24,trio103303024,103303024@supertriodog.com,103303024,โรงพยาบาลสัตว์ไอเพท,แขวงพระโขนง,เขตคลองเตย,กรุงเทพมหานคร,103303,ทุกวัน,9:00:00 AM,8:00:00 PM,4384/1 ถนนพระราม4 ,0864034580,"13.712891489024347, 100.58791583818103",I-Pet Hospital 081 903 3390 https://maps.app.goo.gl/D6Dq4YEG8KJJR8Mx6,โรงพยาบาลสัตว์ไอเพท,@ipethospital
25,trio101905025,101905025@supertriodog.com,101905025,โรงพยาบาลสัตว์โอเอซิส,แขวงบางระมาด,เขตตลิ่งชัน,กรุงเทพมหานคร,101905,ทุกวัน,12:00:00 AM,12:00:00 AM,88 ถนนวัดอินทราวาส  ,"02-4433944,080-6969499","13.758053994554444, 100.4371893644179",https://goo.gl/maps/MXi7D2rDFyTVnEQd8,Oasis Pet Hospital & Resort : โรงพยาบาลสัตว์โอเอซิส,@oasispethospital
26,trio101903026,101903026@supertriodog.com,101903026,โรงพยาบาลสัตว์ตลิ่งชัน,แขวงฉิมพลี,เขตตลิ่งชัน,กรุงเทพมหานคร,101903,ทุกวัน,12:00:00 AM,12:00:00 AM,1 ซอยบรมราชชนนี 61   ,"063-9515591, 02-8878321-3 ","13.77964348166644, 100.44433701261815",https://goo.gl/maps/qcamgVaPPXoYeku76,โรงพยาบาลสัตว์ตลิ่งชัน,@talingchanpet
27,trio104004027,104004027@supertriodog.com,104004027,โรงพยาบาลสัตว์อนุรักษ์เมตตาสัตว์,แขวงหลักสอง,เขตบางแค,กรุงเทพมหานคร,104004,ทุกวัน,9:00:00 AM,9:00:00 PM,1637-1639 ถ.เพชรเกษม ,02-8094499,"13.708971721184898, 100.38625686843969",https://goo.gl/maps/1NAnUs8Q6uREYeCg7,โรงพยาบาลสัตว์อนุรักษ์เมตตาสัตว์,-
28,trio560301028,560301028@supertriodog.com,560301028,ช่อผกาสัตวแพทย์,หย่วน,อำเภอเชียงคำ,พะเยา,560301,ทุกวัน,8:00:00 AM,8:00:00 PM,465/3 หมู่ 4 ถนนพะเยา-เชียงคำ,0844828884,"(19.5175298, 100.2949086)",ช่อผกา สัตวแพทย์ 084 482 8884 https://maps.app.goo.gl/9XVKvqxuG698x8757?g_st=ic,https://www.facebook.com/chorphakaVET?mibextid=LQQJ4d,
29,trio550101029,550101029@supertriodog.com,550101029,คลีนิกหมอวุดรักษาสัตว์,ในเวียง,อำเภอเมืองน่าน,น่าน,550101,ทุกวัน,8:30:00 AM,8:00:00 PM,106/12 ถนนสุมนเทวราช,0873019892,"(18.7844608, 100.7795181)",คลินิกหมอวุดรักษาสัตว์ 087 301 9892 https://maps.app.goo.gl/h6mzufZGXTKB4Zcp8?g_st=ic,,
30,trio510602030,510602030@supertriodog.com,510602030,หมอนัทรักษาสัตว์,ป่าซาง,อำเภอป่าซาง,ลำพูน,510602,ทุกวัน,10:00:00 AM,7:00:00 PM,111 หมู่ 1 ถนนลำพูน-ลี้,0869163060,"(18.5247965, 98.9395128)",Dr. Nat Animal Clinic 086 916 3060 https://maps.app.goo.gl/upQUaxhTBDYQfmV67?g_st=ic,https://www.facebook.com/Drnatanimalclinic?mibextid=LQQJ4d,
31,trio500107031,500107031@supertriodog.com,500107031,สบายดีเพ็ทคลินิก,ช้างเผือก,อำเภอเมืองเชียงใหม่,เชียงใหม่,500107,ทุกวัน,9:00:00 AM,7:30:00 PM,71/12 หมู่ 2 ถนนเจ็ดยอด,0813862200,"(18.8092140, 98.9704903)",สบายดีเพ็ทคลีนิค - Sabaidee Pet Clinic - 081 386 2200 https://maps.app.goo.gl/uuaxRfFBfGfoWY6D8?g_st=ic,,
32,trio501509032,501509032@supertriodog.com,501509032,โรงพยาบาลสัตว์เชียงใหม่เพ็ทเฟรนด์,หนองควาย,อำเภอหางดง,เชียงใหม่,501509,ทุกวัน,9:00:00 AM,8:00:00 PM,304,0956855545,"(18.7235614, 98.9392924)",โรงพยาบาลสัตว์เชียงใหม่เพ็ทเฟรนด์ Chiang Mai Pet Friend Animal Hospital 095 685 5545 https://maps.app.goo.gl/3pMVqiHhtjEhwufJ8?g_st=ic,https://www.facebook.com/profile.php?id=100088676648653&mibextid=LQQJ4d,
33,trio520305033,520305033@supertriodog.com,520305033,คลินิกบ้านรักสัตว์เกาะคา,ศาลา,อำเภอเกาะคา,ลำปาง,520305,ทุกวัน,9:00:00 AM,6:30:00 PM,286/1 หมู่ 3,0931541763,"(18.1989017, 99.4047616)",คลินิกบ้านรักสัตว์เกาะคา 093 154 1763 https://maps.app.goo.gl/YT6WjF6eV6eG3HX5A?g_st=ic,,
34,trio500111034,500111034@supertriodog.com,500111034,ต้นยางสัตวแพทย์ (สาขาหนองหอย),หนองหอย,อำเภอเมืองเชียงใหม่,เชียงใหม่,500111,ทุกวัน,9:00:00 AM,7:00:00 PM,30/22 โครงการ 89 พลาซ่า,053141015,"(18.7528256, 99.0088319)","ต้นยางสัตวแพทย์ 053 141 015 https://maps.google.com?q=%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%2030/22%20%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AA%E0%B8%B2%E0%B8%AB%E0%B8%B4%E0%B8%99%20%E0%B8%8B%E0%B8%AD%E0%B8%A2%205%20Tambon%20Nong%20Hoi,%20Mueang%20Chiang%20Mai%20District,%20Chiang%20Mai%2050000&ftid=0x30da30210d30349f:0x7b69b23ceb046e1&hl=en-TH&gl=th&entry=gps&lucs=karto&g_st=ic",,
35,trio560113035,560113035@supertriodog.com,560113035,โรงพยาบาลสัตว์แสนสุข,ท่าวังทอง,อำเภอเมืองพะเยา,พะเยา,560113,วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์,8:30:00 AM,8:00:00 PM,801,054 073 883,"19.1732001, 99.9051142",โรงพยาบาลสัตว์แสนสุข 054 073 883 https://maps.app.goo.gl/eWDY3fsyPzkkpykH9?g_st=ic,https://www.facebook.com/happinesspetshospital/,
36,trio501907036,501907036@supertriodog.com,501907036,ต้นยางสัตวแพทย์ (สาขายางเนิ้ง),หนองผึ้ง,อำเภอสารภี,เชียงใหม่,501907,ทุกวัน,9:00:00 AM,7:00:00 PM,10 ถนนเชียงใหม่-ลำพูน,053322648,"(18.7202825, 99.0273915)","Tonyang Veterinary YangNaeng branch 053 322 648 https://maps.google.com?q=Tonyang%20Veterinary%20YangNaeng%20branch,%2010%20Chiang%20Mai-Lamphun%20Rd,%20Nong%20Phueng,%20Saraphi%20District,%20Chiang%20Mai%2050140&ftid=0x30da2e3a78955a09:0xe0c198ca36e3a936&hl=en-TH&gl=th&entry=gps&lucs=karto&g_st=ic",,
37,trio500204037,500204037@supertriodog.com,500204037,โรงพยาบาลสัตว์พร้อมพันธ์,ข่วงเปา,อำเภอจอมทอง,เชียงใหม่,500204,ทุกวัน,8:00:00 AM,7:00:00 PM,611/2-3 ม.11,0624429882,"18.43111890693264, 98.6830060890904",https://goo.gl/maps/Y1i2j8EawEjoKbKw7,https://www.facebook.com/Promvet/,
38,trio570513038,570513038@supertriodog.com,570513038,คลินิกบ้านรักสัตว์,เมืองพาน,อำเภอพาน,เชียงราย,570513,ทุกวัน,9:00:00 AM,6:00:00 PM,1995 หมู่ 1,0812881356,"(19.5523416, 99.7427333)",คลินิกบ้านรักสัตว์ 081 288 1356 https://maps.app.goo.gl/Q3igEehH1ncwd5xp7?g_st=ic,,
39,trio500107039,500107039@supertriodog.com,500107039,นาทีทรัพย์รักษาสัตว์,ช้างเผือก,อำเภอเมืองเชียงใหม่,เชียงใหม่,500107,วันจันทร์;วันอังคาร;วันพฤหัส;วันศุกร์;วันเสาร์;วันอาทิตย์,10:00:00 AM,7:00:00 PM,152 ทางคู่ขนานถนน ซูเปอร์ไฮเวย์,053-212-300,"18.811514272634124, 98.99091258098659",https://goo.gl/maps/8obsHtrKrixEuGkUA,https://www.facebook.com/pages/%E0%B8%99%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%9E%E0%B8%A2%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C/267551059988533,
40,trio500103040,500103040@supertriodog.com,500103040,โรงพยาบาลสัตว์เพื่อพูน,หายยา,อำเภอเมืองเชียงใหม่,เชียงใหม่,500103,ทุกวัน,7:00:00 AM,12:00:00 AM,"242 (ตรงข้ามศูนย์วัฒนธรรม), ถ.วัวลาย",053200537,"18.771584072399513, 98.97918773320633",https://goo.gl/maps/7Eg9aNYCmCGoXLcc9,,
41,trio510107041,510107041@supertriodog.com,510107041,คลินิกต้นธงรักษาสัตว์,ต้นธง,อำเภอเมืองลำพูน,ลำพูน,510107,วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์;วันอาทิตย์,10:00:00 AM,8:00:00 PM,195/21,0832395589,"18.560124633856145, 98.98758248531045",https://goo.gl/maps/tnQvLbJoQSkvFqVPA,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%98%E0%B8%87%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-326296631300456/,
42,trio510102042,510102042@supertriodog.com,510102042,โรงพยาบาลสัตว์ไตรรัตน์เอื้ออาทร,เหมืองง่า,อำเภอเมืองลำพูน,ลำพูน,510102,วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์,9:00:00 AM,8:00:00 PM,7/3,0833637390,"18.574873103716396, 99.00249225154828",https://goo.gl/maps/QczppBCn5RC5XKWGA,https://www.facebook.com/triratuanimalhospital/,
43,trio500502043,500502043@supertriodog.com,500502043,คลินิกบ้านฮักสัตว์,สันปูเลย,อำเภอดอยสะเก็ด,เชียงใหม่,500502,ทุกวัน,9:00:00 AM,7:00:00 PM,199/7-8,053104681,"18.800057545435934, 99.06331599977196",https://goo.gl/maps/V9jeBEfyUGkFnVpD9,https://www.facebook.com/baanhugsudclinic,
44,trio501907044,501907044@supertriodog.com,501907044,บ้านสี่ขารักษาสัตว์,หนองผึ้ง,อำเภอสารภี,เชียงใหม่,501907,ทุกวัน,9:00:00 AM,8:00:00 PM,795 ถนน เชียงใหม่-ลำพูน,053 321 742,"18.73496392934688, 99.0163792348777",https://goo.gl/maps/S73fLpmgkhmwrg9NA,https://www.facebook.com/profile.php?id=112686632173145,
45,trio520104045,520104045@supertriodog.com,520104045,โรงพยาบาลสัตว์เขลางค์,สบตุ๋ย,อำเภอเมืองลำปาง,ลำปาง,520104,ทุกวัน,8:30:00 AM,7:00:00 PM,363 ฉัตรไชย,054325409,"18.283537579446808, 99.4842383861352",https://goo.gl/maps/CCUjeJ3yA6bAyvXD9,,
46,trio570103046,570103046@supertriodog.com,570103046,คลินิกรักษาสัตว์เพ็ทโฮม,บ้านดู่,อำเภอเมืองเชียงราย,เชียงราย,570103,วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์,9:00:00 AM,7:00:00 PM,177/3,0841758884,"19.965921561294227, 99.85575811748902",https://goo.gl/maps/oYde7RMttYhWpLuV6,https://www.facebook.com/profile.php?id=206001786144296,
47,trio570103047,570103047@supertriodog.com,570103047,คลินิกคำหลวงรักษาสัตว์,บ้านดู่,อำเภอเมืองเชียงราย,เชียงราย,570103,ทุกวัน,9:00:00 AM,7:30:00 PM,222,0650195000,"19.958945651056293, 99.85395228699687",https://goo.gl/maps/LNSQsThbpf9yQ7Wg6,https://www.facebook.com/khamluangVet,
48,trio570101048,570101048@supertriodog.com,570101048,สามัคคีสัตวแพทย์,เวียง,อำเภอเมืองเชียงราย,เชียงราย,570101,ทุกวัน,7:00:00 AM,8:00:00 PM,393/5 ถ.บรรพปราการ,0956974994,"19.90712542082881, 99.82550363635063",https://goo.gl/maps/2pgZRXHwz9VBjmDn6,,
49,trio500710049,500710049@supertriodog.com,500710049,โรงพยาบาลสัตว์ดอนแก้ว,ดอนแก้ว,อำเภอแม่ริม,เชียงใหม่,500710,ทุกวัน,12:00:00 AM,12:00:00 AM,9/7 หมู่2 ถ.วงแหวนรอบนอก,0979572519,"18.86725292866123, 98.96685510654802",https://goo.gl/maps/dqpQVu9AywXXy8J98,https://www.facebook.com/Donkaew.Animal.Hospital.24hr,
50,trio540301050,540301050@supertriodog.com,540301050,คลินิกรักษาสัตว์แสนดี,ห้วยอ้อ,อำเภอลอง,แพร่,540301,วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์,9:00:00 AM,7:00:00 PM,64,0926869651,"18.074260620894467, 99.83102068070126",https://goo.gl/maps/WUtcTF19MSXVQjFc9,https://www.facebook.com/sandeeclinic/,
51,trio101704051,101704051@supertriodog.com,101704051,คลินิกนายน์สัตวแพทย์,แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,101704,วันจันทร์;วันอังคาร;วันพฤหัส;วันศุกร์;วันเสาร์;วันอาทิตย์,10:00:00 AM,8:30:00 PM,773/49 ถ.ประชาราษฎร์บำเพ็ญ,0841440229,"(13.7804458, 100.5847086)",Dropped pin https://maps.app.goo.gl/mQgXwDfcqz7B5Rkg9?g_st=ic,,
52,trio110301052,110301052@supertriodog.com,110301052,โรงพยาบาลสัตว์เมอริทเพ็ท,บางพลีใหญ่,อำเภอบางพลี,สมุทรปราการ,110301,ทุกวัน,9:00:00 AM,8:00:00 PM,115/21 ซอยมหาชัย,0944646152,"13.633636847596009, 100.69170313817975",โรงพยาบาลสัตว์เมอริทเพ็ท Meritpet Animal Hospital 094 464 6152 https://maps.app.goo.gl/hQpBscaLFwMA9pT28?g_st=ic,โรงพยาบาลสัตว์เมอริทเพ็ท,@775swsaa
53,trio110201053,110201053@supertriodog.com,110201053,รพส บ้านหมอป๊อปรักษาสัตว์,บางบ่อ,อำเภอบางบ่อ,สมุทรปราการ,110201,ทุกวัน,8:00:00 AM,10:00:00 PM,595/10-11 ม.2 ,0632265590,13.5753949-100.8482174,Ban mor pop Pet Hosp.-รพส.บ้านหมอป๊อบรักษาสัตว์(บ่างบ่อ) 02 103 1936,รพส บ้านหมอป๊อป,@banmorpop
54,trio110302054,110302054@supertriodog.com,110302054,เพทเพลย์กราวด์รักษาสัตว์,บางแก้ว,อำเภอบางพลี,สมุทรปราการ,110302,ทุกวัน,9:00:00 AM,8:00:00 PM,50/525 หน้าหมู่บ้านฉัตรเพชร หมู่2 ถนนหนามแดง-บางพลี,"02-043-0008, 091-942-6466","13.626749,100.639521",Pet Playground The veterinary center 02 043 0008 https://maps.app.goo.gl/AZy8JgL6iYicKcEb6,Pet playground The Veterinary Center,Pet_playground
55,trio410101055,410101055@supertriodog.com,410101055,หจก.พีเอ็น เทรดดิ้ง การเกษตร,หมากแข้ง,อำเภอเมืองอุดรธานี,อุดรธานี,410101,วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์,8:30:00 AM,6:30:00 PM,150/3 ถนนแจ่มนุสรณ์,042240043,17.410382-102.797370,พีเอ็น.เทรดดิ้งเพ็ทช็อป(หจก.พี.เอ็น.เทรดดิ้งการเกษตร) 042 240 043 https://maps.app.goo.gl/HKDdMrsuSYSqtgrW7,https://www.facebook.com/pntradingudon?mibextid=ZbWKwL,
